R	308612898816	4096
R	308832739328	4096
R	280613703680	4096
W	356079632384	4096
R	308613029888	4096
R	305388404736	4096
R	308832870400	4096
R	308613160960	4096
W	356079763456	4096
R	281232109568	4096
R	314387697664	4096
R	308613292032	4096
W	356079894528	4096
R	281232240640	4096
R	314387828736	4096
W	356080025600	4096
W	356080156672	4096
R	313649168384	4096
R	304789839872	4096
R	279553212416	4096
W	356080287744	4096
W	356080418816	4096
R	280746565632	4096
W	356080549888	4096
R	312230502400	4096
R	297321455616	4096
R	312230633472	4096
R	304666177536	4096
R	297039138816	4096
R	297321586688	4096
R	313450545152	4096
R	289230987264	4096
R	297321717760	4096
W	356080644096	4096
R	316595244096	4096
R	279940624384	4096
R	297321848832	4096
W	356080775168	4096
R	289231118336	4096
W	356080906240	4096
R	289231249408	4096
W	356081037312	4096
R	280145543168	4096
R	308453953536	4096
R	280563838976	4096
R	295727820800	4096
R	288041951232	4096
R	289231380480	4096
R	280293101568	4096
R	280563970048	4096
W	356079218688	4096
R	287463313408	4096
R	288042082304	4096
R	280370614272	4096
R	288042213376	4096
R	289231511552	4096
W	356079349760	4096
R	283764666368	4096
R	283534548992	4096
R	288042344448	4096
R	308392722432	4096
R	280370745344	4096
R	288042475520	4096
R	280370876416	4096
R	311114432512	4096
R	288042606592	4096
R	280792469504	4096
R	280111964160	4096
R	288042737664	4096
R	280371007488	4096
R	289231642624	4096
R	311114563584	4096
W	356081139712	4096
R	288042868736	4096
R	280371138560	4096
R	311114694656	4096
W	356081270784	4096
R	289231773696	4096
R	289231904768	4096
W	356081401856	4096
R	289232035840	4096
W	356081532928	4096
W	356081664000	4096
R	289232166912	4096
W	356081795072	4096
R	289232297984	4096
R	289232429056	4096
W	356081926144	4096
R	289232560128	4096
W	356082057216	4096
R	289232691200	4096
W	356082188288	4096
R	314366631936	4096
R	289232822272	4096
R	289232953344	4096
W	356082229248	4096
W	356082360320	4096
R	310708121600	4096
W	356082491392	4096
R	293762904064	4096
